⌚	наручные часы	время|запястье|наручные|рука|часы
👦	мальчик	дитя|маленький|малыш|мальчик|ребенок|сын
👧	девочка	девочка|дитя|маленькая|малышка|ребенок
👨	мужчина	брат|взрослый|друг|мужчина|усы|человек
👨‍🌾	мужчина-фермер	вилы|дачник|мужчина|огород|садовник|сено|соломенная|урожай|шляпа
👨‍🍳	мужчина-повар	готовить|еда|мужчина|повар|шеф
👨‍🍼	кормящий мужчина	забота|кормление|кормящий|малыш|мужчина|новорожденный|няня|отец|папа|ребенок
👨‍🎓	студент	бакалавр|вуз|выпуск|выпускник|мужчина|образование|университет|учеба
👨‍🎤	мужчина-певец	жест|звезда|исполнитель|коза|мужчина|музыка|певец|рок|сцена
👨‍🎨	мужчина-художник	кисти|краски|мужчина|палитра|художник
👨‍🏫	учитель	инструктор|мужчина|преподаватель|профессор|учитель
👨‍🏭	мужчина-рабочий	завод|мужчина|промышленность|рабочий
👨‍💻	мужчина-инженер	инженер|мужчина|ноутбук|программист|разработчик|технарь
👨‍💼	офисный работник - мужчина	белый|бизнесмен|воротничок|галстук|менеджер|мужчина|офисный|работник
👨‍🔧	мужчина-механик	механик|мужчина|сантехник|электрик
👨‍🔬	мужчина-ученый	биолог|инженер|мужчина|наука|ученый|химик
👨‍🚀	мужчина-космонавт	астронавт|космонавт|космос|мужчина
👨‍🚒	мужчина-пожарный	мужчина|огонь|пожарный|профессия|спасатель|тушить
👨‍🦯	мужчина с тростью для ходьбы	инвалид|мужчина|мужчина с тростью для ходьбы|палочка|слепой|трость|человек
👨‍🦼	мужчина в электрическом кресле-коляске	в кресле|инвалид|инвалидное кресло|кресло|мужчина|мужчина в электрическом кресле-коляске
👨‍🦽	мужчина в ручном кресле-коляске	в кресле|инвалид|инвалидное кресло|кресло|мужчина|мужчина в ручном кресле-коляске|человек
👩	женщина	взрослая|волосы|девушка|длинные|женщина|леди|человек
👩‍🌾	женщина-фермер	вилы|дачница|женщина|огород|садовница|сено|соломенная|урожай|шляпа
👩‍🍳	повариха	готовить|еда|женщина|кухарка|повар|повариха|шеф
👩‍🍼	кормящая женщина	женщина|забота|кормление|кормящая|малыш|мама|мать|новорожденный|няня|ребенок
👩‍🎓	студентка	аспирантка|выпускница|девушка|женщина|студентка
👩‍🎤	певица	женщина|жест|звезда|исполнительница|коза|музыка|певица|рок|сцена
👩‍🎨	художница	арт|галерея|женщина|живопись|картины|краски|рисование|творчество|художница
👩‍🏫	учительница	женщина|инструктор|лектор|преподаватель|профессор|учительница
👩‍🏭	работница	женщина|завод|инженер|промышленность|работница|рабочий|строитель
👩‍💻	женщина-инженер	женщина|инженер|код|компьютер|ноутбук|программистка|разработчица|технарь
👩‍💼	офисная работница	бизнес|деловая|женщина|офис|работница|секретарь
👩‍🔧	женщина-механик	женщина|женщина-механик|механик|сантехник|электрик
👩‍🔬	ученая	биология|женщина|инженер|математик|наука|ученая|химия
👩‍🚀	женщина-космонавт	астронавт|женщина|корабль|космонавт|пилот|скафандр
👩‍🚒	женщина-пожарный	женщина|огонь|пожарная|профессия|спасательница|тушить
👩‍🦯	женщина с тростью для ходьбы	женщина|женщина с тростью для ходьбы|инвалид|палочка|слепая|трость|человек
👩‍🦼	женщина в электрическом кресле-коляске	в кресле|женщина|женщина в электрическом кресле-коляске|инвалид|инвалидное кресло|кресло|человек
👩‍🦽	женщина в ручном кресле-коляске	в кресле|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло
👪	семья	портрет|ребенок|родители|семейный|семья
👫	мужчина и женщина	держаться за руки|друзья|женщина|мужчина|мужчина и женщина|пара|руки|свидание|флирт
👬	двое мужчин	близнецы|братья|двое|двойняшки|дружба|друзья|мужчины|пара
👭	две женщины	две женщины|держаться за руки|женщины|лучшие подруги|пара|подружки|руки|сестры
👮	полицейский	блюститель|закон|коп|милиция|органы|полицейский|порядка|правоохранительные
👯	люди с ушами кролика	близкие|вечеринка|двое|двойняшки|кордебалет|кролик|парочка|подруги|танец|уши
👰	невеста	невеста|свадьба|фата
👱	человек со светлыми волосами	блондин|волосы|молодой|мужское лицо|мужчина|парень|светлые|человек|человек со светлыми волосами
👲	мужчина в китайской шапке	китай|китайский|мужчина в китайской шапке|человек|шапка
👳	человек в тюрбане	индус|повязка|ранение головы|религия|сикх|тюрбан|чалма|человек
👴	пожилой мужчина	возраст|годы|дедушка|мужчина|пожилой|старик|старый|человек
👵	пожилая женщина	бабушка|женщина|пожилая|старая|старуха|старушка|человек
👶	младенец	дитя|карапуз|маленький|младенец|ребенок
👷	строитель	инженер|каска|лицо|рабочий|ремонт|ремонтник|строитель|строить|стройка
👸	принцесса	королева|королевство|корона|победительница|принцесса|притча|сказка|тиара|фэнтези
👹	чудовище	дракон|змей|карнавал|лицо|мифология|монстр|нечисть|страх|существо|чудовище|японский
👺	японский гоблин	гоблин|злой|монстр|сказка|страшный|тэнгу|чудище|японский
👻	привидение	подмигнуть|привидение|призрак|смешной|улыбка|хэллоуин
👼	ангелочек	ангел|ангелочек|дитя|крылья|лик|младенец|нимб|фэнтези
👽	инопланетянин	внеземная|инопланетянин|космос|нло|пришелец|страшный|улыбка|цивилизация
👾	космический монстр	аркада|инопланетянин|космос|монстр|нло|пиксель|пришелец|чудовище
👿	злой чертенок	грусть|демон|дьявол|зло|расстроен|рога|рожки|хмурится|черт
💀	череп	кости|мертвый|могила|монстр|смерть|умереть|череп
💁	человек тянет руку	выдать|жест|знаю|информацию|не|себе|секрет|сплетни|так
💂	гвардеец	гвардеец|гвардия|караул|охрана|почетный|солдат|шапка|шлем
💃	танцующая женщина	движения|дискотека|женщина|красное платье|красота|танцовщица|танцующая женщина|танцы|человек
💄	помада	губы|косметика|макияж|помада
💅	маникюр	готово|кисть|косметика|лак|маникюр|ногти|пальцы|руки|скука|уход
💆	человеку массируют лицо	голова|лицо|массаж|массаж головы|массаж лица|процедура|салон|спа|человеку массируют лицо
💇	человек у парикмахера	волосы|косметология|красота|ножницы|обрезать|парикмахер|прическа|салон|стрижка|укоротить|уход
💈	парикмахерская	барбершоп|волосы|парикмахерская|салон|стрижка|цирюльник
💉	шприц	инъекция|кровь|лечение|медицина|препарат|прививка|укол|шприц
💊	пилюля	барбитураты|капсула|лекарство|лечиться|медикаменты|пилюля|препарат|рецепт|таблетка
💋	след от поцелуя	губы|любовь|помада|поцелуй|романтика|свидание|целовать|чувства|эмоции
💌	любовное письмо	валентинка|записка|любовное письмо|любовь|письмо|почта|тайна
💍	кольцо	бриллиант|драгоценный|камень|кольцо|обручальное|помолвка|свадьба
💎	драгоценный камень	алмаз|драгоценность|драгоценный камень|камень|цена
💏	поцелуй	любовь|пара|поцелуй|романтика|чувства
💐	букет	букет|любовь|подарок|поздравление|праздник|розы|романтика|свидание|тюльпаны|цветы
💑	влюбленная пара	влюбленные|любовь|люди|пара|свидание|сердце|чувства
💒	свадьба	венчание|свадьба|сердечки|собор|церемония|церковь
💓	пульсирующее сердце	бьется|красное|пульсирует|пульсирующее|розовое|сердце
💔	разбитое сердце	разбитое|разочарование|сердце|части
💕	два сердца	влюблен|влюблена|влюбленные|два|любовь|отношения|свидание|сердечки|сердца|чувства
💖	сверкающее сердце	блеск|звездочки|любовь|радость|сверкающее сердце|сердце
💗	растущее сердце	биение|больше|влюбленность|любовь|размер|растущее сердце|ритм|сердце|чувства
💘	сердце, пронзенное стрелой	купидон|лук|любовь|сердце, пронзенное стрелой|стрела
💙	синее сердце	голубое|любовь|сердце|синее|чувства|эмоции
💚	зеленое сердце	зеленое|любовь|сердце|чувства|эмоции
💛	желтое сердце	желтое|любовь|сердце|чувство|эмоции
💜	фиолетовое сердце	любовь|сердце|сиреневое|фиолетовое|чувства|эмоции
💝	сердце с лентой	валентин|валентинка|лента|люблю|любовь|перевязано|подарок|сердце|сердце с лентой
💞	вращающиеся сердца	вращающиеся сердца|вращение|два|круги|сердца|танец любви
💟	значок «сердце»	белое|значок|квадрат|любовь|сердце|сиреневый|фиолетовый|чувства|эмоция
💠	ромб с точкой	алмаз|бриллиант|геометрия|драгоценный|камень|ромб|с|точкой|украшение|фигура|цветок
💡	лампочка	идея|лампа|лампочка|свет|эврика|электричество
💢	значок «гнев»	гнев|злость|значок «гнев»|ярость
💣	бомба	бомба|взрыв|ложись|опасность|фитиль|черная
💤	сон	ночи|ночь|сон|спать|спокойной|храп
💥	взрыв	бомба|бум|взрыв|вспышка|искра|столкновение
💦	капли пота	брызги|вода|капать|капельки|капли|мокрый|пот|тренировка
💧	капля	вода|дождь|капелька|капля|пот|слеза
💨	исчезновение	быстро|дым|исчезновение|облако|облачко|пукнуть|пыли|пыль|убежать
💩	какашка	вонючка|воняет|говно|кака|куча|улыбка|фу|шутка
💪	бицепс	атлет|бицепс|зал|качать|качок|мышцы|сила|спорт
💫	кружащаяся звезда	астероид|головокружение|звезда|звездочка|звезды|метеорит
💬	облачко с многоточием	диалог|идеи|многоточие|мысли|мысль|облачко|речь|сообщение|текст
💭	облачко с мыслями	идеи|изобретения|мечты|мысли|облачко|размышления
💮	белый цветок	белый|цветок
💯	сто баллов	100|именно|сотка|сотня|сто|сто баллов|сто процентов|сто пудов|точно
💰	мешок денег	банкноты|деньги|доллар|доллары|мешок|мешок денег|миллион|много
💱	обмен валюты	банк|валюта|валюты|деньги|касса|курс|обмен
💲	жирный знак доллара	валюта|деньги|доллар|США
💳	кредитная карта	банковская|деньги|заплатить|карта|карточка|кредитка|кредитная|оплатить
💴	банкнота иены	банкнота|банкнота иены|валюта|деньги|иена|япония
💵	банкнота доллара	австралия|бакс|банкнота|банкнота доллара|валюта|деньги|доллар|канада|купюра|сша
💶	банкнота евро	банкнота|валюта|деньги|евро|евросоюз
💷	банкнота фунта	англия|банк|банкнота|банкнота фунта|валюта|великобритания|деньги|стерлинг|стерлингов|фунт
💸	банкнота с крылышками	бакс|банкнота|банкнота с крылышками|деньги|доллар|крылья|летающая
💹	биржа	биржа|валюта|деньги|курс|рост|рынок|тенденция
💺	кресло	кресло|кресло в самолете|место|пассажирское кресло|сиденье|стул
💻	ноутбук	компьютер|ноутбук|портативный
💼	портфель	бумаги|дипломат|документы|офис|портфель|работа
💽	диск	CD|диск|компьютер|компьютерный диск|мини-диск|оптический диск|си ди|си-ди|сиди
💾	дискета	данные|дискета|компьютер|носитель
💿	CD	CD|диск|компакт|компакт-диск|си ди|си-ди|сиди|формат
📀	DVD	CD|DVD|двд|двд-диск|дивиди|диск|формат
📁	папка	бумаги|документы|папка|файл
📂	открытая папка	бумаги|документы|открытая|папка|файл
📃	страница с загибом	документ|загиб|загнутая|загнутый|лист|лист с загибом|страница|страница с загибом
📄	страница	вертикально|лист|страница
📅	календарь	даты|календарь|календарь с датой|назначенная дата|отрывной календарь|числа
📆	отрывной календарь	17 число|дата|день|календарь|листы|отрывной
📇	органайзер	визитка|визитница|картотека|карточки|органайзер|указатели
📈	диаграмма роста	вверх|диаграмма|диаграмма роста|рост|скачок|схема|тенденция|улучшение
📉	диаграмма падения	вниз|диаграмма|диаграмма падения|падение|схема|тенденция|ухудшение
📊	гистограмма	гистограмма|граф|диаграмма|столбчатая
📋	планшет с зажимом	бумага|зажим|лист|планшет|планшет с зажимом|список дел
📌	канцелярская кнопка	бумага|канцелярская кнопка|кнопка
📍	канцелярская кнопка с шариком	бумага|канцелярская кнопка с шариком|кнопка|место|местоположение|шарик
📎	скрепка	бумаги|канцелярия|скрепить|скрепка
📏	линейка	измерение|линейка|прямая
📐	линейка-треугольник	измерение|измерительный инструмент|линейка|линейка-треугольник|треугольная|треугольник|чертежный набор
📑	стикеры-закладки	закладки|клеящиеся|наклейки|отметки|стикеры|стикеры-закладки
📒	блокнот	блокнот|блокнотик|записная книжка|тетрадка|тетрадь
📓	тетрадь	блокнот|записная книжка|тетрадка|тетрадь
📔	записная книжка	блокнот|дневник|ежедневник|записи|записная|книжка|красивая|обложка
📕	закрытая книга	закрытая|закрыть|захлопнутая|захлопнуть|книга|книжка|красивая обложка|обложка
📖	открытая книга	книга|книжка|открытая|открыть|раскрытая|раскрыть
📗	зеленая книга	библиотека|зеленая|книга|книжка|учеба|учиться|читать|чтение
📘	синяя книга	голубая|голубой|книга|книжка|синий|синяя
📙	оранжевая книга	книга|книжка|оранжевая|оранжевый
📚	книги	библиотека|книги|книжки|много книг|сессия|стопка|стопка книг|учить|читать|экзамен
📛	бейдж	бейдж|бейджик|значок|значок с именем|имя|огонь|предупреждение
📜	свиток	бумага|пергамент|свиток
📝	заметка	заметка|запись|карандаш|писать|письмо
📞	телефонная трубка	телефон|телефонная трубка|трубка
📟	пейджер	пейджер|сообщение|строка|экран
📠	факс	бумага|сообщение|факс
📡	спутниковая антенна	антенна|спутник|спутниковая
📢	громкоговоритель	внимание|громкоговоритель|звук|обращение|объявление|рупор
📣	мегафон	громкоговоритель|звук|мегафон|обращение|объявление|речь|рупор
📤	исходящие	исходящая|исходящие|отправленная|отправленные|письма|почта|почтовый|сообщения|ящик
📥	входящие	входящие|входящие письма|полученная|полученные|полученные письма|почта|почтовый|ящик
📦	посылка	доставка|коробка|посылка|почта
📧	электронная почта	конверт|письмо|почта|сообщение|электронная почта|электронное письмо|электронное сообщение
📨	входящее письмо	входящее|конверт|письмо|получение|почта|сообщение|электронное
📩	исходящее письмо	исходящее|исходящее письмо|конверт|отправка|сообщение|стрелка|электронное
📪	закрытый почтовый ящик с опущенным флажком	закрыт|закрытый почтовый ящик с опущенным флажком|опущенный|почта|почтовый|флаг|ящик
📫	закрытый почтовый ящик с поднятым флажком	закрыт|закрытый почтовый ящик с поднятым флажком|поднятый|почта|почтовый|флаг|ящик
📬	открытый почтовый ящик с поднятым флажком	открыт|открытый почтовый ящик с поднятым флажкгом|открытый почтовый ящик с поднятым флажком|письмо|поднятый|почта|почтовый|флаг|ящик
📭	открытый почтовый ящик с опущенным флажком	опущенный|открыт|открытый почтовый ящик с опущенным флажком|письмо|почта|почтовый|флаг|ящик
📮	почтовый ящик	корреспонденция|почта|почтовый|ящик
📯	почтовый рожок	почта|почтовый рожок|рожок|труба
📰	газета	газета|известия|издание|новости|печать
📱	мобильный телефон	мобильник|мобильный|смартфон|сотовый|телефон
📲	входящий вызов	входящий|вызов|мобильник|мобильный|смартфон|сотовый|телефон
📳	режим вибрации	вибрация|мобильник|мобильный|режим|режим вибрации|смартфон|телефон|телефон вибрирует
📴	выключенный телефон	выключен|выключенный телефон|выключено|мобильник|мобильный|смартфон|сотовый|телефон
📵	мобильные телефоны запрещены	запрещен|запрещено|запрещены|звонить|звонки|мобильный|перечеркнутый|смартфон|сотовый|телефон
📶	сигнал сети	антенна|подключение|связь|сигнал сети|телефон|уровень сигнала
📷	фотоаппарат	съемка|фото|фотоаппарат|фотокамера
📸	фотоаппарат со вспышкой	вспышка|съемка|фото|фотоаппарат|фотоаппарат со вспышкой|фотокамера
📹	видеокамера	видео|видеокамера|запись|съемка
📺	телевизор	тв|телевидение|телевизор
📻	радио	передача|приемник|радио|сигнал
📼	видеокассета	видео|видеокассета|кассета|пленка
📿	четки	бусы|колье|молитва|ожерелье|религия|четки
🔀	случайный выбор	выбор|перемешивание|пересечение|скрещенные|случайно|случайный|стрелки
🔁	повтор	горизонтальные|замкнутые|по|повтор|повторить|стрелке|стрелки|часовой
🔂	повтор одной песни	две стрелки|кнопка|одна песня|повтор|повтор одной песни
🔃	по часовой стрелке	вертикальные|зависание|перезагрузка|по|стрелке|стрелки|часовой
🔄	против часовой стрелки	горизонтальные|кнопка|обновить|обновление|против|стрелки|часовой
🔅	низкая яркость	низкая яркость|низкий|солнышко|темно|уровень|яркость
🔆	высокая яркость	высокая яркость|высокий|светло|уровень|яркость
🔇	без звука	без звука|громкость|звук|молчание|тихо|тишина
🔈	низкая громкость	громкость|динамик|звук|низкая|уровень
🔉	средняя громкость	громкоговоритель|громкость|динамик|звук|рупор|спикер|средняя|уровень
🔊	высокая громкость	высокая|громкость|динамик|звук|уровень
🔋	батарейка	аккумулятор|батарейка|батарея|заряд|уровень заряда
🔌	вилка	вилка|розетка|штекер|штепсель|электричество
🔍	лупа, наклоненная влево	влево|линза|лупа|лупа, наклоненная влево|наклоненная влево|стекло|увеличительное
🔎	лупа, наклоненная вправо	вправо|исследовать|лаборатория|лупа|лупа, наклоненная вправо|наклоненная вправо|стекло|увеличительное
🔏	закрытый замок с перьевой ручкой	закрытый замок|закрытый замок с перьевой ручкой|замок|защита|конфиденциальность|перо|перьевая ручка|перьевой наконечник|ручка
🔐	закрытый замок с ключом	безопасность|закрытый|закрытый замок с ключом|замок|ключ
🔑	ключ	закрыть|ключ|открыть|пароль
🔒	закрытый замок	закрытый|замок|затвор|навесной замок
🔓	открытый замок	закрыть|замок|затвор|открытый
🔔	колокольчик	будильник|звонок|колокол|колокольчик
🔕	перечеркнутый колокольчик	будильник|будильник отключен|колокол|отключить|перечеркнутый колокольчик|перечеркнуть|тихо|тишина
🔖	закладка	закладка|книга|книжка|отметка
🔗	гиперссылка	гиперссылка|звенья|связывание|связь|ссылка|цепочка|цепь
🔘	круглая кнопка	кнопка|круглая|серая
🔙	стрелка «назад»	вернуться|назад|стрелка
🔚	стрелка «конец»	конец|стрелка «конец»|стрелка конец
🔛	стрелка «активно»	активно|включено|стрелка «активно»|стрелка активно
🔜	стрелка «скоро»	вправо|далее|продолжение|скоро|следует|стрелка
🔝	стрелка «верх»	вверх|верх|наверх|стрелка|топ
🔞	для людей старше восемнадцати лет	18 лет|для людей старше восемнадцати лет|запрет|нельзя|несовершеннолетним запрещено
🔠	ввод прописными	алфавит|ввод|ввод прописными|верхний регистр|латиница|латинские буквы|прописные|прописные символы
🔡	ввод строчными	алфавит|буквы|ввод|ввод строчными|кнопка|латинские буквы|нижний регистр|строчные|строчные символы
🔢	ввод цифр	ввод|ввод цифр|цифры
🔣	ввод символов	ввод|ввод символов|символы
🔤	ввод латиницей	алфавит|буквы|ввод|латиница|латинские|латинский|символы
🔥	огонь	костер|огонь|очаг|пламя
🔦	фонарик	свет|фонарик|фонарь|электричество
🔧	гаечный ключ	гаечный|инструмент|ключ|ремонт
🔨	молоток	забить|инструмент|молот|молоток|ремонт|удар
🔩	болт и гайка	болт|болт и гайка|винт|гайка|закрутить|инструмент|ремонт|шуруп
🔪	нож	кухонный|нож|оружие|острие|резать|холодное
🔫	водяной пистолет	водный пистолет|водяной пистолет|игрушка|огнестрельное|оружие|пистолет|револьвер
🔬	микроскоп	биология|изучать|инструмент|исследовать|клетки|лупа|микробы|микроскоп|прибор|увеличение
🔭	телескоп	астрономия|звезды|инструмент|линза|лупа|планетарий|планеты|прибор|телескоп|увеличительное стекло
🔮	хрустальный шар	будущее|волшебство|гадание|магия|предсказание|хрусталь|хрустальный шар|шар
🔯	шестиконечная звезда	звезда|звезда Давида|шестиконечная звезда
🔰	символ новичка	новичок|символ|символ новичка|Япония|японский символ новичка
🔱	трезубец	вилы|посейдон|символ|трезубец|эмблема
🔲	кнопка с черной рамкой	квадрат|кнопка|рамкой|с|черная|черной
🔳	кнопка с белой рамкой	белая|белой|квадрат|кнопка|рамкой|с
🔴	красный круг	геометрия|красный|круг|фигура|шар
🔵	голубой круг	геометрия|голубой|круг|синий|фигура|шар
🔶	большой оранжевый ромб	большой|геометрия|оранжевый|ромб|фигура
🔷	большой голубой ромб	большой|геометрия|голубой|ромб|синий|фигура
🔸	небольшой оранжевый ромб	геометрия|маленький|оранжевый|ромб|фигура
🔹	небольшой голубой ромб	геометрия|голубой|небольшой голубой ромб|небольшой ромб|ромб|фигура
🔺	треугольник вершиной вверх	вверх|вершиной|геометрия|красный|пирамида|треугольник|фигура
🔻	треугольник вершиной вниз	вершиной|вниз|геометрия|красный|пирамида|треугольник|фигура
🔼	треугольник острием вверх	вверх|кнопка|кнопка треугольник острием вверх|пирамида|треугольник|треугольник острием вверх
🔽	треугольник острием вниз	вниз|кнопка|треугольник|треугольник острием вниз
🕋	Кааба	ислам|Кааба|мусульмане|религия|святыня|хадж
🕌	мечеть	здание|ислам|мечеть|мусульмане|религия
🕍	синагога	евреи|здание|иудаизм|религия|синагога|церковь
🕎	менора	менора|подсвечник|религия|свечи|ханука|ханукия
🕐	час	1:00|13:00|время|дня|ночи|один|час|часы
🕑	два часа	время|два|два часа|час|часы
🕒	три часа	15:00|3:00|время|время три часа|ровно|три|три часа|час|часы
🕓	четыре часа	16:00|4:00|время|время четыре часа|ровно|час|часы|четыре|четыре часа
🕔	пять часов	17:00|5:00|время|время пять часов|пять|пять часов|ровно|час|часы
🕕	шесть часов	18:00|6:00|время|время шесть часов|ровно|час|часы|шесть|шесть часов
🕖	семь часов	19:00|7:00|время|время семь часов|ровно|семь|семь часов|час|часы
🕗	восемь часов	20:00|8|восемь|восемь часов|время|время восемь часов|ровно|час|часы
🕘	девять часов	21:00|9:00|время|время девять часов|девять|девять часов|ровно|час|часы
🕙	десять часов	10:00|22:00|время|время десять часов|десять|десять часов|ровно|час|часы
🕚	одиннадцать часов	11|11:00|23:00|время|время одиннадцать часов|одиннадцать|одиннадцать часов|ровно|час|часы
🕛	двенадцать часов	00|00:00|12|12:00|двенадцать|двенадцать часов|дня|ночи|полдень|полночь
🕜	полвторого	1:30|время|полвторого|половина|тик так|тик-так|час|час тридцать|часы
🕝	полтретьего	14:30|2:30|время|два тридцать|полтретьего|час|часы
🕞	полчетвертого	15:30|3:30|время|половина|полчетвертого|три тридцать|тридцать|час|часы
🕟	полпятого	16:30|4:30|время|половина|полпятого|тридцать|час|часы|четыре тридцать
🕠	полшестого	17:30|5:30|время|половина|полшестого|пять|тридцать|час|часы
🕡	полседьмого	18:30|6:30|время|половина|полседьмого|тридцать|час|часы|шесть
🕢	полвосьмого	19:30|7:30|время|полвосьмого|половина|семь|тридцать|час|часы
🕣	полдевятого	20:30|8:30|восемь тридцать|время|полдевятого|половина|тридцать|час|часы
🕤	полдесятого	21:30|9:30|время|девять тридцать|полдесятого|половина|тридцать|час|часы
🕥	пол-одиннадцатого	10:30|22:30|время|десять|пол-одиннадцатого|половина|тридцать|час|часы
🕦	полдвенадцатого	11:30|23:30|время|одиннадцать|полдвенадцатого|половина|тридцать|час|часы
🕧	полпервого	00:30|12|12:30|30|двенадцать|первого|половина|полпервого|тридцать
🕺	танцующий мужчина	движения|красота|мужчина|танец|танцующий мужчина|танцы|человек
🖕	средний палец	жест|палец|рука|средний|фак
🖖	вулканский салют	вулканский|жест|пальцы|приветствие|рука|спок
🖤	черное сердце	злое|сердце|черное
🗻	Фудзияма	вулкан|гора|Фудзияма
🗼	Токийская башня	архитектура|башня|вышка|телебашня|телевышка|Токио
🗽	статуя Свободы	нью-йорк|свобода|статуя|статуя Свободы|факел
🗾	карта Японии	атлас|карта|Япония
🗿	истукан	голова|истукан|лицо|остров|пасхи|статуя
😀	широко улыбается	лицо|радость|смех|счастье|улыбка
😁	светится от счастья	весело|глаза|зубы|лицо|ржать|смех|счастье|улыбка|ухмылка|широкая
😂	смеется до слез	глаза|лол|плач|ржака|ржач|ржунимагу|слезы|смешно|умора|ха-ха
😃	смеется	весело|лицо|радость|рот|смеется|смех|улыбка
😄	смеется с закрытыми глазами	глаза|закрытые|лицо|радость|смеется|смех|смеяться|улыбка
😅	нервно смеется	лол|нервный|облегчение|открытый|пот|рот|смех|стресс|улыбка|широкая
😆	смеется с прищуренными глазами	глаза|закрытые|лол|радость|смех|смешно|угораю|улыбка|ха-ха|хохот
😇	с нимбом	ангел|глаза|добрый|закрытые|легкая|невинная|нимб|улыбка
😈	улыбающийся чертенок	дьявол|зло|злорадная|рога|рожки|улыбка|черт
😉	подмигивает	глаз|договорились|ироничная|легкая|окей|подмигивает|улыбка|флирт|хорошо|шутка
😊	довольно улыбается	глаза|довольный|закрытые|краснеть|легкая|радость|румянец|улыбка|щеки
😋	вкусно	вкус|вкусно|еда|лицо|объедение|отлично|смаковать|язык
😌	испытывает облегчение	богу|довольный|облегчение|обошлось|пронесло|слава|улыбка|хорошо
😍	влюбленное лицо	без ума|вау|влюбленность|восторг|глаза|люблю|обожаю|сердечки|чувства
😎	лицо в темных очках	защита|клево|круто|лицо|очки|свет|солнечные|солнце|солнцезащитные|улыбка
😏	ухмыляется	задумал|лицо|подмигнуть|подозрение|попался|пошутил|ухмылка|ухмыляется|хитрый|шутка
😐	все равно	безразличие|незаинтересованный|равнодушие|скептик|скучно|усталость|эмоций
😑	без эмоций	безразличие|надоело|незаинтересованный|нет|ничего|совсем|спать|усталость|эмоций
😒	скучает	гадость|грустно|надоело|недовольный|противно|скука|скучно|тоска|фу
😓	в холодном поту	беспокойство|боль|волнуюсь|головная|депресняк|нервничаю|поту|уныние|холодном
😔	размышляет	грустный|достало|жаль|задумчивый|мысли|плохо|разочарован|скучно|устал
😕	в замешательстве	замешательство|недовольный|непонятно|огорчен|плохо|расстроен|сбит|сомнение|толку
😖	в растерянности	гадость|кринж|невкусно|непонятно|неприятно|растерян|сбит|толку|фу
😗	целует	люблю|любовь|нежность|поцелуй|романтика|скучаю|флирт|чмок
😘	воздушный поцелуй	воздушный|губы|комплимент|любовь|подмигивание|поцелуй|сердечко|скучаю|флирт|чмок
😙	счастливый поцелуй	глаза|лицо|любовь|поцелуй|свидание|улыбка|флирт|чмок
😚	целует с закрытыми глазами	глаза|закрытые|поцелуй|румянец|флирт|целовать|чмок
😛	показывает язык	вот|высунуть|забавно|показывает|смешно|улыбка|ха|шутка|язык
😜	показывает язык и подмигивает	весело|глаз|забавно|подмигнуть|показать|розыгрыш|улыбка|ха-ха|шутка|язык
😝	морщится и показывает язык	бе|гадость|жмуриться|омг|отвращение|показать|противно|ужас|фу|язык
😞	разочарование	виноват|грустно|жаль|лузер|неудача|обида|обижен|печаль|разочарован|устал
😟	беспокоится	беспокоится|беспокойство|лицо|расстройство|тревога|тревожность
😠	сердится	бешенство|злиться|злость|рассержен|сердится|хмурится
😡	злится	бешенство|злой|кипит|красный|ненавижу|рак|рассержен|сердится|ярость
😢	плачет	грустный|жаль|обидно|печаль|плакать|плач|слеза
😣	упорство	боль|головная|достало|мигрень|настойчивость|упорный|упрямый|хватит
😤	в ожидании успеха	бешенстве|дым|зла|злость|зол|пар|пыхтеть|раздражение
😥	обошлось	беспокоюсь|грустно|облегчение|обошлось|плач|пот|пронесло|разочарован|тревога|фух
😦	в изумлении	изумление|испуг|неприятный|ого|омг|страх|сюрприз|устал
😧	страдает	боль|забыл|испуг|неприятный|омг|страдаю|стресс|сюрприз|удивление
😨	боится	беспокоится|боится|боюсь|волнуюсь|жуть|испуг|омг|страх
😩	усталость	гадость|достало|надоело|нет|плач|сил|устал|фу|хватит
😪	хочет спать	ночи|плакать|плач|пора|сон|спать|сплю|спокойной|устал
😫	сильная усталость	достало|надоело|очень|сильно|спать|устал|фу|хватит
😬	гримаса	злой|злость|злюсь|зубы|кривляться|показать|рожа
😭	слезы рекой	за|навзрыд|несчастный|плач|почему|реветь|рекой|слезы|что
😮	удивление	вау|верю|изумление|невероятно|ого|омг|ошеломление|удивление|ужас|шок
😮‍💨	выдыхает	вздох|выдох|выдыхает|облегчение|одышка|свист|шепот
😯	неприятный сюрприз	вау|верю|неприятный|ого|омг|сюрприз|удивление
😰	сильно беспокоится	беспокоюсь|волнуюсь|грусть|замерз|плакать|плач|пот|страх|холодно
😱	в ужасе	испуг|крик|кричать|нет|омг|страх|ужас|шок
😲	в шоке	вау|глаза|изумление|лоб|ого|омг|ох|потрясение|удивление|шок
😳	краснеет	извини|краснеет|обидел|прости|румянец|смущение|стесняется|стыдно|хотел
😴	спит	боковую|ночи|пора|сон|спать|спокойной|уснул|устал|храп
😵	головокружение	болею|глаза|голова|крестики|кружится|мертвый|плохо|смерть|умереть|устал
😵‍💫	ошеломление	гипноз|глаза|голова|замешательство|кружится|кучу|омг|сложно|тупик|шок
