⌚	Armbanduhr	Armbanduhr|Uhr|Zeit
🐣	schlüpfendes Küken	Ei|Küken|Küken in Eierschale|Piep|schlüpfen|schlüpfendes Küken|Tier|Vogel
🐤	Küken	Küken|Kükenkopf|Tier
🐥	Küken von vorne	Geflügel|Küken|Küken in Frontansicht|Küken von vorne|Tier
🐦	Vogel	Papagei|Taube|Tier|Vogel|Vogelkopf
🐦‍⬛	schwarzer Vogel	Amsel|krächzen|Krähe|Rabe|Schnabel|schwarz|schwarzer Vogel|Tier|Vogel
🐦‍🔥	Phönix	Asche|Fabelwesen|Fantasy|Feuer|Feuervogel|Phönix|Reinkarnation|Tier|Vogel|Wiedergeburt
🐧	Pinguin	Pinguin|Pinguinkopf|Tier|Vogel
🐨	Koala	Koala|Koalabär|Koalagesicht|Tier
🐩	Pudel	Hund|Pudel|Tier
🐪	Dromedar	Dromedar|einhöckrig|Kamel|Tier|Wüste
🐫	Kamel	Kamel|Tier|Wüste|zweihöckrig
🐬	Delfin	Delfin|Meer|Ozean|Strand|Tier
🐭	Mäusegesicht	Gesicht|Maus|Mäusegesicht|Mausgesicht|Nagetier|Tier
🐮	Kuhgesicht	Gesicht|Kuh|Kuhgesicht|Tier
🐯	Tigergesicht	Gesicht|Raubkatze|Tier|Tiger|Tigergesicht
🐰	Hasengesicht	Gesicht|Hase|Hasengesicht|Kaninchen|Karnickel|Langohr|Mümmelmann|Nager|Nagetier|Tier
🐱	Katzengesicht	Gesicht|Katze|Katzengesicht|Miau|Miez|Miezekatze|Tier
🐲	Drachengesicht	Drache|Drachengesicht|Gesicht|Märchen|Tier
🐳	blasender Wal	blasender Wal|Blasender Wal|Meer|Ozean|Tier|Wal
🐴	Pferdegesicht	Gesicht|Pferd|Pferdegesicht|Pferdekopf|Tier
🐵	Affengesicht	Affe|Affengesicht|Banane|Dschungel|Gesicht|Tier|Zoo
🐶	Hundegesicht	Gesicht|Hund|Hundegesicht|Tier|treu|Wau|wuff
🐷	Schweinegesicht	Gesicht|Schwein|Schweinegesicht|Tier
🐸	Frosch	Frosch|Froschgesicht|Gesicht|grün|quak|Tier
🐹	Hamster	Gesicht|Hamster|Hamstergesicht|Tier
🐺	Wolf	Gesicht|Tier|Wolf|Wolfsgesicht
🐻	Bär	Bär|Bärengesicht|Gesicht|Tier
🐼	Panda	Gesicht|Panda|Pandabär|Pandagesicht|Tier
🐽	Schweinerüssel	Nase|Schwein|Schweinerüssel|Tier
🐾	Tatzenabdrücke	Abdruck|Tatzen|Tatzenabdrücke|Tier
👀	Augen	Auge|Augen|Gesicht|gucken|schauen|sehen
👂	Ohr	hören|Körperteil|Ohr
👃	Nase	Körperteil|Nase|riechen
👄	Mund	Körperteil|Kuss|Lippen|Lippenstift|Mund
👅	Zunge	ätsch|hmm|Körperteil|lecken|lecker|mmh|Zunge
👆	nach oben weisender Zeigefinger von hinten	aufwärts|Finger|Handrücken|Handrückseite|hier|hinauf|melden|oben|rauf|weisen|Zeigefinger|zeigen
👇	nach unten weisender Zeigefinger	abwärts|Finger|Handrücken|Handrückseite|hinab|hinunter|runter|unten|weisen|Zeigefinger|zeigen
👈	nach links weisender Zeigefinger	Finger|Handrückseite|links|weisen|Zeigefinger|zeigen
👉	nach rechts weisender Zeigefinger	Finger|Handrückseite|rechts|weisen|Zeigefinger|zeigen
👊	geballte Faust	absolut|Bro|Faust|geballt|Hand|korrekt|zustimmen
👋	winkende Hand	auf Wiedersehen|bis später|ciao|guten Tag|hallo|Hand|hey|hi|tschüs|tschüss|winken
👌	OK-Zeichen	exzellent|Finger|genial|Hand|in Ordnung|natürlich|OK|OK-Zeichen|perfekt|super
👍	Daumen hoch	Daumen|Daumen hoch|einverstanden|Finger|gut|Hand|in Ordnung|jawohl|klar|klasse|like|nach oben|ok|super|top
👎	Daumen runter	Daumen|Daumen runter|Hand|nach unten|schlecht
👏	klatschende Hände	applaudieren|Applaus|Beifall|Gratulation|großartig|gut|Hand|Hände|Klatschen|klatschend|toll
👐	offene Hände	Hände|Jazz|offen|umarmen|Umarmung
👑	Krone	König|Königin|Kopfbedeckung|Krone|Majestät
👒	Damenhut	Damenhut|Damenhut mit Schleife|Hut|Kleidung|Kopfbedeckung|Schleife
👓	Brille	Accessoire|Brille
👔	Hemd mit Krawatte	Hemd|Hemd mit Krawatte|Kleidung|Kragen|Schlips
👕	T-Shirt	Kleidung|Shirt|T-Shirt
👖	Jeans	Hose|Jeans|Kleidung
👗	Kleid	Kleid|Kleidung
👘	Kimono	japanisch|Kimono|Kleid|Kleidung
👙	Bikini	Badeanzug|Bikini|Kleidung
👚	Bluse	Bluse|Damenmode|Kleidung|Oberbekleidung|Shirt
👛	Geldbörse	Accessoire|Brieftasche|Geldbörse|Münzen|Portemonnaie
👜	Handtasche	Accessoire|einkaufen|Handtasche|Tasche
👝	Clutch	Accessoire|Beutel|Clutch|Handtasche|Kulturbeutel|Tasche|Waschtasche
👞	Herrenschuh	gehen|Herren|Herrenschuh|Schuh
👟	Sportschuh	laufen|rennen|Schuh|Sneaker|sportlich|Sportschuh|Turnschuh
👠	Stöckelschuh	Absatz|Absatzschuh|Damen|elegant|High Heel|Highheels|Pumps|rot|Schuh|Stöckelschuh|vornehm
👡	Damensandale	Damen|Damensandale|Sandale|Schuh
👢	Damenstiefel	Damen|Damenstiefel|Schuh|Stiefel
👣	Fußabdrücke	Abdruck|auf dem Weg|Fuß|Fußabdruck|Fußabdrücke
👤	Silhouette einer Büste	Büste|Person|Silhouette einer Büste
👥	Silhouette mehrerer Büsten	Büsten|Personen|Silhouette mehrerer Büsten
👦	Junge	Enkelsohn|Gesicht|jung|Junge|jünger|Kind|munter|Sohn|strahlend
👧	Mädchen	Enkeltochter|Gesicht|jung|jünger|Kind|Mädchen|munter|strahlend|Tochter
👨	Mann	erwachsen|Gesicht|Mann
👨‍🌾	Bauer	Ähre|Bauer|Farmer|Gärtner|Landwirt|Rancher
👨‍🍳	Koch	Koch|Kochen|Restaurant
👨‍🍼	Mann, der Baby die Flasche gibt	Baby|Flasche geben|Flasche gebender Mann|füttern|Mann
👨‍🎓	Student	Absolvent|Diplom|Doktorhut|Student|Uni
👨‍🎤	Sänger	Mann|Mikrofon|Popstar|Sänger|Schauspieler
👨‍🎨	Künstler	Farbpalette|Künstler|Maler|Mann
👨‍🏫	Lehrer	Dozent|Lehrer|Mann|Professor|Tafel
👨‍🏭	Fabrikarbeiter	Fabrik|Fabrikarbeiter|Helm
👨‍💻	IT-Experte	Arbeit|Bildschirm|Büro|Computer|Entwickler|IT-Experte|Mann|Office
👨‍💼	Büroangestellter	Angestellter|Büro|Büroangestellter|Manager|Mann
👨‍🔧	Mechaniker	Elektriker|Handwerker|Klempner|Mann|Mechaniker
👨‍🔬	Wissenschaftler	Chemie|Forscher|Labor|Wissenschaftler
👨‍🚀	Astronaut	Astronaut|Mann|Raumfahrt|Weltraum
👨‍🚒	Feuerwehrmann	Feuerwehr|Feuerwehrhelm|Feuerwehrmann|Mann
👨‍🦯	Mann mit Langstock	Barrierefreiheit|Behinderung|blind|Mann|Mann mit Blindenstock|Mann mit Gehstock|Mann mit Langstock|Mensch|Person|sehbehindert
👨‍🦼	Mann in elektrischem Rollstuhl	Barrierefreiheit|Behinderung|Mann|Mann in elektrischem Rollstuhl|Mann in Rollstuhl|Mensch|Person|Rollstuhl
👨‍🦽	Mann in manuellem Rollstuhl	Barrierefreiheit|Behinderung|Mann|Mann in manuellem Rollstuhl|Mann in Rollstuhl|Mensch|Person|Rollstuhl
👩	Frau	erwachsen|Frau|Gesicht
👩‍🌾	Bäuerin	Ähre|Bäuerin|Farmerin|Gärtnerin|Landwirtin
👩‍🍳	Köchin	kochen|Köchin
👩‍🍼	Frau, die Baby die Flasche gibt	Baby|Eltern|Flasche geben|Flasche gebende Frau|Frau|füttern|Mama|Milch|Mutter|Neugeborenes|Person|Säugling
👩‍🎓	Studentin	Abschluss|Absolventin|Diplom|Doktorhut|Studentin|Uni
👩‍🎤	Sängerin	Frau|Mikrofon|Popstar|Sängerin|Schauspielerin
👩‍🎨	Künstlerin	Farbpalette|Frau|Künstlerin|Malerin
👩‍🏫	Lehrerin	Dozentin|Frau|Lehrerin|Professorin
👩‍🏭	Fabrikarbeiterin	Fabrik|Fabrikarbeiterin|Frau|Helm
👩‍💻	IT-Expertin	Arbeit|Bildschirm|Büro|Computer|Entwickler|Entwicklerin|Frau|IT-Expertin|Laptop|Office
👩‍💼	Büroangestellte	Angestellte|Büro|Büroangestellte|Frau|Managerin|Mangerin
👩‍🔧	Mechanikerin	Elektrikerin|Frau|Handwerkerin|Klempnerin|Mechanikerin
👩‍🔬	Wissenschaftlerin	Forscherin|Frau|Labor|Wissenschaftlerin
👩‍🚀	Astronautin	Astronautin|Frau|Raumfahrt|Weltraum
👩‍🚒	Feuerwehrfrau	Feuerwehrfrau|Feuerwehrhelm|Frau
👩‍🦯	Frau mit Langstock	Barrierefreiheit|Behinderung|blind|Frau|Frau mit Blindenstock|Frau mit Gehstock|Frau mit Langstock|Mensch|Person
👩‍🦼	Frau in elektrischem Rollstuhl	Barrierefreiheit|Behinderung|Frau|Frau in elektrischem Rollstuhl|Frau in Rollstuhl|Mensch|Person|Rollstuhl
👩‍🦽	Frau in manuellem Rollstuhl	Barrierefreiheit|Behinderung|Frau|Frau in manuellem Rollstuhl|Frau in Rollstuhl|Mensch|Person|Rollstuhl
👪	Familie	Familie|Junge|Kind|Mutter|Vater
👫	Mann und Frau halten Hände	Frau|Händchen halten|Mann|Mann und Frau halten Hände|Paar|Pärchen aus Frau und Mann
👬	Händchen haltende Männer	Händchen halten|Händchen haltende Männer|Männer|Paar|Pärchen aus Mann und Mann|Zwillinge
👭	Händchen haltende Frauen	Frauen|Händchen halten|Händchen haltende Frauen|Paar|Pärchen aus Frau und Frau
👮	Polizist(in)	Beruf|festnehmen|Gesetzeshüter|Gesicht|Person|Polizei|Polizist|Polizist(in)|Polizistin|Uniform|verhaften
👯	Personen mit Hasenohren	Bunny|Bunnys|doppelt|Hasenohren|Leute|Party|Person|Personen mit Hasenohren|seelenverwandt|Tanzen|Tänzerinnen|Zwillinge
👰	Person mit Schleier	Braut|Braut mit Schleier|Gesicht|Hochzeit|Person|Person mit Schleier|Schleier
👱	Person: blondes Haar	blond|blondhaarig|Gesicht|Mensch|Person
👲	Mann mit chinesischem Hut	China|chinesisch|Gesicht|Hut|Kappe|Mütze|Person
👳	Person mit Turban	Bart|Dreitagebart|Person|Person mit Turban|Turban
👴	älterer Mann	alt|älter|erwachsen|Großeltern|Großvater|Mann|Mensch|Opa|Senior|weise
👵	ältere Frau	alt|älter|erwachsen|Frau|Großeltern|Großmutter|Mensch|Oma|Seniorin|weise
👶	Baby	Baby|Gesicht|jung|Kind|Kleinkind|Locke
👷	Bauarbeiter(in)	Arbeit|Bau|Bauarbeiter|Bauarbeiter(in)|Bauarbeiterin|Beruf|Gesicht|Helm|Person|Schutzhelm|umbauen
👸	Prinzessin	Gesicht|Krone|Märchen|Prinzessin
👹	Ungeheuer	Gesicht|gruselig|Japan|japanisch|Märchen|Maske|Monster|Oger|Ungeheuer
👺	Kobold	gemein|Gesicht|Japan|japanisch|Kobold|Märchen|Maske|Monster|Tengu|Ungeheuer|wütend
👻	Gespenst	buh|Fantasy|Geist|Gesicht|Gespenst|gruselig|Halloween|Märchen|Spuk|Zunge
👼	Putte	Engel|Gesicht|Kind|Märchen|Putte
👽	Außerirdischer	Alien|All|außerirdisch|Außerirdische|Außerirdischer|Fantasy|Gesicht|Märchen|Monster|UFO|Weltraum|Wesen
👾	Computerspiel-Monster	Computerspiel-Monster|Gesicht|Monster|UFO
👿	wütendes Gesicht mit Hörnern	böse|Dämon|Dämonin|Fantasie|Fantasy|Gesicht|Hörner|Kobold|lila|Märchen|Satan|Teufel|Teufelchen|violett|wütend
💀	Totenkopf	Gesicht|Knochen|Märchen|Schädel|Tod|tot|Totenkopf|yolo
💁	Infoschalter-Mitarbeiter(in)	abgekippt|beleidigen|Gerüchte|Geste|Hand|Klatsch|klatschen|Person|Sarkasmus|sarkastisch|Tratsch|tratschen
💂	Wache	Bärenfellmütze|Buckingham Palace|Gesicht|London|Wache|Wachfrau|Wachmann|Wachsoldat|Wachsoldatin|Wächter
💃	tanzende Frau	elegant|festlich|Flair|Flamenco|Frau|Salsa|Schwung|Tango|Tanz|Tanzen|Tänzerin
💄	Lippenstift	Kosmetik|Lippenstift|Make-up|makeup|Rot|Schminke
💅	Nagellack	Kosmetik|Maniküre|Nagel|Nagellack|Nagelpflege
💆	Person, die eine Kopfmassage bekommt	Behandlung|die eine Kopfmassage bekommt|entspannen|Kopfmassage|Kopfschmerzen|Massage|Migräne|Person|Person, die eine Kopfmassage bekommt|Salon|Spa|Therapie
💇	Person beim Haareschneiden	Friseur|Friseurin|Friseuse|Frisör|Frisörin|Frisur|Haare|Haarschnitt|Person|Person beim Haareschneiden|Schere
💈	Barbershop-Säule	Barbershop-Säule|Friseur|Herrenfriseur|Säule
💉	Spritze	Arzt|impfen|Impfung|Injektion|Kanüle|Nadel|Spritze
💊	Kapsel	Arznei|Arzt|Kapsel|Medizin|Pille|Tabletten
💋	Kussabdruck	Gefühl|Knutsch|Kuss|Kussabdruck|küssen|Liebe|Lippen|Lippenstift|romantisch|sexy
💌	Liebesbrief	Brief|Herz|Liebe|Liebesbrief|Post|Siegel
💍	Ring	Diamantring|Edelstein|Ring|Schmuck|Verlobung
💎	Edelstein	Diamant|Edelstein
💏	sich küssendes Paar	Frau|Herz|Kuss|küssen|Küssendes Paar|Mann|sich küssendes Paar
💐	Blumenstrauß	Blumen|Blumenstrauß|Bouquet
💑	Liebespaar	Frau|Herz|Liebe|Liebespaar|Mann|Paar
💒	Hochzeit	Herz|Hochzeit|Kirche
💓	schlagendes Herz	Gefühl|Herz|Herzschlag|Liebe|Puls|pulsieren|schlagen
💔	gebrochenes Herz	allein|gebrochen|Gefühl|Herz|Herzschmerz|Liebeskummer|Schmerz|traurig|Trennung|zerbrochen
💕	zwei Herzen	Date|Gefühl|Herz|Herzen|Hochzeitstag|Jahrestag|Küsschen|Küsse|Liebe|Rendezvous|xoxo|zwei
💖	funkelndes Herz	Aufregung|funkeln|Gefühl|glitzern|Herz|Liebe|Morgen|Nacht|rosa|xoxo
💗	wachsendes Herz	Aufregung|Gefühl|Herz|Herzschlag|Küsschen|Küsse|Liebe|nervös|Nervosität|Puls|wachsen|xoxo
💘	Herz mit Pfeil	Herz|Herz mit Pfeil|Liebe|Pfeil
💙	blaues Herz	blau|Gefühl|Herz|Liebe|romantisch
💚	grünes Herz	Gefühl|grün|Herz|Liebe|romantisch
💛	gelbes Herz	Gefühl|gelb|Herz|herzlich|Liebe
💜	lila Herz	beste|Gefühl|hdl|Herz|Liebe|lila|lilafarben|violett
💝	Herz mit Schleife	Herz|Hochzeitstag|Jahrestag|Küsschen|Küsse|Liebe|Schleife|Valentinstag|xoxo
💞	kreisende Herzen	Emotion|Gefühl|Herz|Herzen|Hochzeitstag|Jahrestag|kreisen|Liebe|süß
💟	Herzdekoration	Deko|Emotion|Gefühl|Herz|Herzdekoration|Liebe|lila|violett|weiß
💠	Rautenform mit Punkt	Diamant|mit Punkt|Rautenform|Rautenform mit Punkt
💡	Glühbirne	Glühbirne|hell|Idee|Lampe|Licht
💢	Ärger	Ärger|Comic|Wut
💣	Bombe	Bombe|Comic|Dynamit|Explodieren
💤	Schlafen	Buchstaben|Comic|gähn|langweilig|müde|Nickerchen|öde|Schlaf|Schlafen|Schnarchen|ZZZ
💥	Zusammenstoß	Bombe|Boom|Comic|explodieren|Explosion|kollidieren|Kollision|Zusammenstoß|zusammenstoßen
💦	Schweißtropfen	Comic|feucht|nass|Schweiß|Schweißtropfen|schwitzen|trainieren|Training|Tropfen|Wasser
💧	Tropfen	Schweiß|Träne|Tropfen|Wasser|Wassertropfen
💨	Staubwolke	Comic|rennen|Staubwolke|weglaufen
💩	Kothaufen	Kot|Kothaufen|Mist
💪	angespannter Bizeps	Arm|Bizeps|Bodybuilder|Bro|Fitnessstudio|Gewichtheben|Muckies|Muskeln|stark|Training
💫	schwindlig	benommen|Benommenheit|Comic|Komet|schwindlig|Stern|Sterne|Sternschnuppe
💬	Sprechblase mit drei Punkten	Comic|Dialog|Gespräch|Sprechblase|Sprechblase mit drei Punkten|Unterhaltung
💭	Gedankenblase	Comic|Gedankenblase|Nachdenken
💮	Blumenstempel	Blume|Blumenstempel
💯	100 Punkte	100|100 Punkte|Punktestand|volle Punktzahl
💰	Geldsack	Geld|Geldsack|Moneten|reich|Sack
💱	Geldwechsel	Geld|Geldwechsel|Währung|Wechsel
💲	Dollarzeichen extrafett	bezahlen|Dollar|Dollar-Zeichen|Dollarzeichen extrafett|Geld|Knete|Moneten|teuer|USD|Währung
💳	Kreditkarte	Bankkarte|EC-Karte|Geldkarte|Guthaben|Karte|Kreditkarte
💴	Yen-Banknote	Geld|Geldschein|Yen|Yen-Banknote
💵	Dollar-Banknote	Dollar|Dollar-Banknote|Geld|Geldschein|Währung
💶	Euro-Banknote	Euro|Euro-Banknote|Euroschein|Geld|Geldschein
💷	Pfund-Banknote	Geld|Geldschein|Pfund|Pfund-Banknote
💸	Geldschein mit Flügeln	Bank|Euro|Geld|Geldschein mit Flügeln|Knete|Moneten
💹	steigende Kurve mit Yen-Zeichen	Diagramm|Markt|steigende Kurve mit Yen-Zeichen|Steigender Trend mit Yen-Zeichen
💺	Sitzplatz	Bus|Flugzeug|Sitz|Sitzplatz|Zug
💻	Laptop	Bildschirm|Computer|Computermonitor|Laptop|Monitor|Notebook|PC
💼	Aktentasche	Aktentasche|Tasche
💽	Minidisc	MD|Minidisc|Minidisk
💾	Diskette	Datenträger|Diskette
💿	CD	Blu-Ray|CD|DVD
📀	DVD	blu-ray|CD|computer|DVD
📁	Ordner	Akten|Büro|Dokument|geschlossen|Ordner
📂	geöffneter Ordner	Dokument|geöffneter Ordner|Geöffneter Ordner|offen|Ordner
📃	teilweise eingerolltes Blatt	Dokument|Papier|Seite|teilweise eingerolltes Blatt|Teilweise eingerolltes Blatt
📄	Vorderseite eines Blattes	Dokument|Papier|Seite|Vorderseite eines Blattes
📅	Kalender	Datum|Kalender|Kalenderblatt
📆	Abreißkalender	Abreißkalender|Datum|Kalender|Termin
📇	Rotationskartei	Rotationskartei|Visitenkarten
📈	Aufwärtstrend	Aufwärtstrend|Diagramm|Kurve|steigend
📉	Abwärtstrend	Abwärtstrend|Diagramm|fallend|Kurve
📊	Balkendiagramm	Balken|Balkendiagramm|Diagramm
📋	Klemmbrett	Clipboard|Clpboard|Klemmbrett|Zwischenablage
📌	Reißzwecke	anpinnen|Reißzwecke
📍	Stecknadel	anpinnen|Reißzwecke|rund|runde Reißzwecke|Stecknadel
📎	Büroklammer	Büroklammer
📏	Lineal	Lineal
📐	dreieckiges Lineal	dreieckiges Lineal|Dreieckiges Lineal|Geodreieck|Lineal
📑	Pagemarker	Notizen|Pagemarker
📒	Spiralblock	Notizblock|Spiralblock
📓	Notizbuch	Notizbuch|Notizen
📔	Notizbuch mit dekorativem Einband	Einband|Notizbuch|Notizbuch mit dekorativem Einband
📕	geschlossenes Buch	Buch|geschlossen|geschlossenes Buch|Geschlossenes Buch
📖	offenes Buch	Bibliothek|blättern|Buch|geöffnet|lernen|lesen|offen|offenes Buch|Offenes Buch|Seite
📗	grünes Buch	Buch|grün|grünes Buch|Grünes Buch|lesen
📘	blaues Buch	blau|blaues Buch|Blaues Buch|Buch
📙	orangefarbenes Buch	Buch|orangefarben|orangefarbenes Buch|Orangefarbenes Buch
📚	Bücherstapel	Bücher|Bücherstapel|Fantasie|lesen|Roman
📛	Namensschild	Namensschild|Schild
📜	Schriftrolle	Papier|Schriftrolle
📝	Papier und Bleistift	Bleistift|Kurzmitteilung|Nachricht|Notiz|Papier|Papier und Bleistift|Schreibblock|schreiben
📞	Telefonhörer	anrufen|Hörer|Kommunikation|Telefon|Telefonhörer
📟	Pager	Kommunikation|Pager|Piepser
📠	Faxgerät	Fax|Faxgerät|Kommunikation
📡	Satellitenschüssel	Antenne|Sat-Schüssel|Satellitenschüssel|Satschüssel|Schüssel
📢	Lautsprecher	Lautsprecher|Megafon|Schallendes Megafon
📣	Megafon	Jubel|Lautsprecher|Megafon
📤	Postausgang	Ablage|E-Mail|Postausgang
📥	Posteingang	Ablage|E-Mail|Posteingang
📦	Paket	Päckchen|Paket
📧	E-Mail	Brief|E-Mail|E-Mail-Symbol|Post
📨	eingehender Briefumschlag	E-Mail|eingehender Briefumschlag|empfangen|Umschlag
📩	Umschlag mit Pfeil	E-Mail|gesendet|Umschlag mit Pfeil
📪	geschlossener Briefkasten ohne Post	Briefkasten|geschlossen|geschlossener Briefkasten ohne Post|Geschlossener Briefkasten ohne Post|keine E-Mail|keine Post|Post
📫	geschlossener Briefkasten mit Post	Briefkasten|E-Mail|geschlossen|geschlossener Briefkasten mit Post|Geschlossener Briefkasten mit Post|Post
📬	offener Briefkasten mit Post	Briefkasten|E-Mail|offen|offener Briefkasten mit Post|Offener Briefkasten mit Post|Post
📭	offener Briefkasten ohne Post	Briefkasten|keine E-Mail|keine Post|offen|offener Briefkasten ohne Post|Post
📮	Briefkasten	Brief|Briefkasten|Post
📯	Posthorn	Brief|E-Mail|Post|Posthorn
📰	Zeitung	Medien|Nachrichten|Presse|Zeitung
📱	Mobiltelefon	Handy|iPhone|Mobiltelefon|Smartphone|telefonieren
📲	Mobiltelefon mit Pfeil	Anruf|Anrufen|Handy|iPhone|Kommunikation|Mobiltelefon|Mobiltelefon mit Pfeil|Pfeil|WhatsApp
📳	Vibrationsmodus	Handy|Kommunikation|Mobiltelefon|Symbol für Vibrationsalarm|Vibration|Vibrationsmodus|vibrieren
📴	Mobiltelefon aus	ausschalten|Handy aus|Mobiltelefon|Mobiltelefon aus
📵	Mobiltelefone verboten	Handy|Mobiltelefon|Mobiltelefone verboten|Verbot
📶	balkenförmige Signalstärkenanzeige	balkenförmige Signalstärkenanzeige|Balkenförmige Signalstärkenanzeige|Empfang|Mobilfunksignal|Mobiltelefon|Signalstärke
📷	Fotoapparat	Fotoapparat|Fotos|Kamera
📸	Fotoapparat mit Blitz	Blitz|Fotoapparat|Fotoapparat mit Blitz
📹	Videokamera	filmen|Videokamera|Videos
📺	Fernseher	Fernsehen|Fernseher|Film|TV
📻	Radio	Musik|Radio
📼	Videokassette	vhs|Video|Videokassette
📿	Gebetskette	beten|Gebet|Gebetskette|Kette|Religion|Rosenkranz
🔀	Zufallsmodus	gekreuzt|Pfeile|Richtung|verschlungene Pfeile nach rechts|Verschlungene Pfeile nach rechts|Zufallsmodus
🔁	Wiederholen	im Uhrzeigersinn|keycap|Pfeile|tastenkappe|wiederholen|Wiederholen
🔂	Titel wiederholen	dasselbe wiederholen|einmal|im Uhrzeigersinn|noch einmal|Pfeile|Titel wiederholen|wiederholen
🔃	kreisförmige Pfeile im Uhrzeigersinn	im Uhrzeigersinn|kreisförmige Pfeile im Uhrzeigersinn|Kreisförmige Pfeile im Uhrzeigersinn|Pfeile
🔄	Pfeile gegen den Uhrzeigersinn	gegen den Uhrzeigersinn|kreisförmige Pfeile gegen den Uhrzeigersinn|Kreisförmige Pfeile gegen den Uhrzeigersinn|Pfeile|Pfeile gegen den Uhrzeigersinn
🔅	Taste Dimmen	dimmen|gedimmt|Helligkeit|schwache Helligkeit|Schwache Helligkeit|Taste Dimmen
🔆	Heller-Taste	heller|Heller-Taste|Helligkeit|starke Helligkeit|Starke Helligkeit
🔇	durchgestrichener Lautsprecher	durchgestrichener Lautsprecher|Durchgestrichener Lautsprecher|leise|psst|stumm|stummgeschaltet
🔈	Lautsprecher mit geringer Lautstärke	eingeschaltet|Lautsprecher mit geringer Lautstärke|Ton an
🔉	Lautsprecher mit mittlerer Lautstärke	Lautsprecher mit einer Schallwelle|Lautsprecher mit mittlerer Lautstärke|leise|mittellaut|Ton
🔊	Lautsprecher mit hoher Lautstärke	Dezibel|laut|Lautsprecher mit drei Schallwellen|Lautsprecher mit hoher Lautstärke|Musik|Schallwellen
🔋	Batterie	Akku|Batterie
🔌	Netzstecker	Netzstecker|Stecker|Stromstecker
🔍	Lupe nach links	Lupe nach links|Suche|Vergrößerungsglas
🔎	Lupe nach rechts	Lupe|Lupe nach rechts|Suche|Vergrößerungsglas
🔏	Schloss mit Füller	Datenschutz|privat|Schloss mit Füller|Sicherheit
🔐	Schloss mit Schlüssel	Datenschutz|privat|Schloss mit Schlüssel|Sicherheit
🔑	Schlüssel	Passwort|schließen|Schlüssel
🔒	geschlossenes Schloss	Datenschutz|geschlossen|geschlossenes Schloss|Geschlossenes Schloss|Schloss|Sicherheit
🔓	offenes Schloss	nicht gesichert|offen|offenes Schloss|Offenes Schloss|Schloss
🔔	Glocke	ding dong|Glocke|Klingeling|Ton eingeschaltet
🔕	durchgestrichene Glocke	durchgestrichene Glocke|Durchgestrichene Glocke|Glocke|kein ton|leise|Ton ausgeschaltet
🔖	Lesezeichen	Etikett|Lesen|Lesezeichen
🔗	Linksymbol	Kettenglieder|Linksymbol|verknüpfen|Verknüpfung|Verknüpfungssymbol|zwei Ringe
🔘	Optionsfeld	Optionsfeld|Schaltfläche
🔙	BACK-Pfeil	BACK-Pfeil|links|Pfeil|zurück
🔚	END-Pfeil	END-Pfeil|Ende-Zeichen|links|Pfeil
🔛	ON!-Pfeil	anschalten|Ein-Zeichen|einschaltem|ON!-Pfeil|Pfeil|rechts und links
🔜	SOON-Pfeil	Bald-Zeichen|Pfeil|rechts|SOON-Pfeil
🔝	TOP-Pfeil	Pfeil nach oben|TOP-Pfeil|Top-Zeichen
🔞	Minderjährige verboten	Erwachsene|Minderjährige verboten|Mindestalter|nicht jugendfrei|Zeichen mit durchgestrichener 18
🔠	Eingabesymbol lateinische Großbuchstaben	abcd|Buchstaben|Eingabe|Eingabesymbol|Großbuchstaben|großschreiben|lateinisch
🔡	Eingabesymbol lateinische Kleinbuchstaben	Eingabesymbol lateinische Kleinbuchstaben|Kleinbuchstaben|lateinische Kleinbuchstaben
🔢	Eingabesymbol Zahlen	1234|Eingabe|Eingabesymbol|Symbol|Zahlen|Ziffern
🔣	Eingabesymbol Sonderzeichen	&|%|♪|〒|Eingabe|Eingabesymbol|keycap|Sonderzeichen|Symbol|Tastenkappe
🔤	Eingabesymbol lateinische Buchstaben	abc|Alphabet|Buchstaben|Eingabe|Eingabesymbol|lateinisch|Symbol
🔥	Feuer	brennen|Feuer|Flamme|heiß
🔦	Taschenlampe	Lampe|Licht|Taschenlampe
🔧	Schraubenschlüssel	Schraubenschlüssel|Werkzeug
🔨	Hammer	Hammer|Werkzeug
🔩	Mutter und Schraube	Mutter und Schraube|Schraube
🔪	Küchenmesser	Küchenmesser|Messer|schneiden
🔫	Wasserpistole	Pistole|Revolver|Waffe|Wasserpistole
🔬	Mikroskop	Labor|Mikroskop|untersuchen|Wissenschaft
🔭	Teleskop	Himmel|Teleskop
🔮	Kristallkugel	Kristallkugel|Wahrsager|Zukunft
🔯	Hexagramm mit Punkt	Hexagramm mit Punkt|Wahrsager
🔰	japanisches Anfänger-Zeichen	Anfänger|japanisches Anfänger-Zeichen|Japanisches Anfänger-Zeichen|japanisches Symbol
🔱	Dreizack	Anker|Dreizack|Poseidon|Triton
🔲	schwarze quadratische Schaltfläche	quadratisch|Schaltfläche|schwarz|schwarze quadratische Schaltfläche|Schwarze quadratische Schaltfläche
🔳	weiße quadratische Schaltfläche	Quadrat|quadratisch|Schaltfläche|weiß|weiße quadratische Schaltfläche|Weiße quadratische Schaltfläche
🔴	roter Punkt	Ball|Punkt|rot|roter Punkt
🔵	blauer Punkt	Ball|blau|blauer Punkt|Großer blauer Kreis|Kreis|Punkt
