⌚	orologio	orologio|orologio da polso|tempo
🐍	serpente	animale|animali|biscia|bosco|foresta|pericolo|selvatico|serpe|serpente|vipera
🐎	cavallo	animale|cavallo|cavallo da corsa|corsa|corse|fattoria|galoppo|polo|ranch|trotto
🐏	montone	animale|animali|ariete|fattoria|montone|ovino|pecora|segno zodiacale dell’ariete
🐐	capra	animale|animali|capra|capricorno|fattoria|latte|segno zodiacale del capricorno
🐑	pecora	animale|beeh|campagna|contare le pecore|fattoria|lana|montone|morbido|notte|pecorella|pecorone|soffice
🐒	scimmia	animale|scimmietta|selvatico
🐓	gallo	alba|animale|animali|domestico|fattoria|galletto|gallo|mattino|uccello
🐔	gallina	animale|animali|fattoria|galletto|gallina|gallo|pollo|uccello
🐕	cane	abbaiare|animale|animale domestico|animali|cagnolino|cane|cucciolo
🐕‍🦺	cane da assistenza	accessibilità|animale|cane|cane d’assistenza|cane da assistenza|cane da salvataggio|cane di servizio|cane guida
🐖	maiale	animale|animali|fattoria|maiale|scrofa
🐗	cinghiale	animale|animali|bosco|cinghiale|faccina cinghiale|game of thones|maiale selvatico
🐘	elefante	animale|elefante|savana|selvatico
🐙	polpo	animale|animali|mare|oceano|polipo|polpo
🐚	conchiglia	animale|conchiglia|conchiglia a spirale|mare|oceano|spiaggia
🐛	insetto	animale|bruco|giardino|millepiedi
🐜	formica	animale|formica|formichina|insetto|lavorare
🐝	ape	animale|bombo|giardino|insetto|miele|natura|primavera|regina|vespa
🐞	coccinella	animale|fortuna|giardino|insetto|natura
🐟	pesce	animale|animali|mare|oceano|pesce|pesci|segno zodiacale dei Pesci
🐠	pesce tropicale	animale|animali|mare|oceano|pesce|pesce tropicale
🐡	pesce palla	animale|animali|mare|oceano|pesce|pesce palla|tropici
🐢	tartaruga	animale|animali|lenta|lentezza|lento|tartaruga
🐣	pulcino che nasce	animale|cucciolo|gallina|nascita|pulcino|schiudere|uccello|uovo|uovo che si schiude
🐤	pulcino	animale|animali|cucciolo|faccina pulcino|gallina|pulcino
🐥	pulcino visto di fronte	animale|baby shower|bambino|bebè|bimbo|cucciolo|fattoria|galletto|gallina|neonato|ornitologia|piccolo
🐦	uccello	animale|ornitologia|passerotto|uccellino
🐦‍⬛	merlo	animale|cornacchia|corvo|merlo|nero|uccello
🐦‍🔥	fenice	fantasia|fenice|immortale|mitologia|personaggio|reincarnazione|reinventarsi|rinascita|trasformazione|uccello di fuoco
🐧	pinguino	animale|antartico|ornitologia|polo sud|uccello
🐨	koala	animale|animali|Australia|faccina koala|koala|selvatico
🐩	barboncino	animale|cane|pelo|razza|soffice
🐪	dromedario	Africa|animale|animali|cammello|deserto|dromedario|gobba|gobbe|trasporto
🐫	cammello	animale|animali|cammello|deserto|due gobbe|gobba
🐬	delfino	animale|cetaceo|delfino|mare|oceano|spiaggia
🐭	muso di topo	animale|faccina|muso di topo|topo|topolino
🐮	muso di mucca	animale|animali|faccina|fattoria|mucca|muso di mucca|muu
🐯	muso di tigre	animale|animali|faccina|felino|muso di tigre|tigre
🐰	muso di coniglio	animale|animale domestico|animali|coniglietto|coniglio|faccina|muso di coniglio
🐱	muso di gatto	animale|animali|faccina|gatto|muso di gatto
🐲	testa di drago	animale|animali|drago|dragone|faccina|fiaba|testa di drago
🐳	balena che spruzza acqua	animale|animali|balena|balena che spruzza acqua|balenottera|cetaceo|mare|oceano|spruzzare
🐴	muso di cavallo	animale|campagna|cavallino|cowboy|dressage|equino|faccina|far west|fattoria|rampante
🐵	muso di scimmia	animale|faccina|scimmia|scimmietta
🐶	muso di cane	animale|cagnolino|cane|cucciolo|domestico|faccina
🐷	muso di maiale	animale|animali|faccina|fattoria|maiale|maialino|muso di maiale|natura|pancetta|porchetta
🐸	rana	animale|bosco|fiaba|lago|muso di rana|natura|principe|raganella|ranocchia|ranocchio|rospo|stagno
🐹	criceto	animale|animali|criceto|domestico|faccina|muso di criceto
🐺	lupo	animale|bosco|faccina|favola|fiaba|lupo mannaro|muso di lupo|selvatico
🐻	orso	animale|faccina|muso di orso|orsacchiotto|orsetto|orso
🐼	panda	animale|animali|bamboo|faccina|muso di panda|panda|WWF
🐽	naso da maiale	animale|animali|faccina|maiale|maialino|naso|naso da maiale
🐾	impronte di zampe	animale|cane|impronta|impronta di zampa|impronte|impronte di zampe|zampa|zampe|zampine
👀	occhi	corpo|faccia|guardare|occhi|osservare|vedere
👂	orecchio	ascoltare|ascolto|corpo|orecchie|orecchio|sentire|sento|ti ascolto|ti sto ascoltando
👃	naso	annusare|corpo|faccia|ficcanaso|fiutare|naso|odore|profumo
👄	bocca	bacio|bocca|corpo|faccia|labbra|rossetto|sexy|smack
👅	lingua	corpo|faccia|lingua|linguaccia|slurp
👆	indice alzato	dito|dito alzato|dito in su|dito indice|in alto|indice alzato|indice in su|mano|sù
👇	indice abbassato	dito|dito abbassato|dito in giù|dito indice|indicare|indice abbassato|indice in giù|mano|qui|sotto
👈	indice verso sinistra	direzione|dito|dito verso sinistra|indicare|indice|indice verso sinistra|là|mano|sinistra
👉	indice verso destra	a destra|destra|di là|dito|dito indice|dito verso destra|indicare|indice verso destra|mano
👊	pugno chiuso	d’accordo|mano|ok|patto|pugno|pugno chiuso|rock|sì
👋	mano che saluta	a dopo|ci sei?|ci vediamo|ciao|ciaone|gesto di saluto|mano|mano aperta|mano che saluta|salutare|schiaffo
👌	mano che fa OK	bene|capito|d’accordo|dito|gesto di ok|ho capito|indice e pollice|mano che fa OK|OK con la mano|segno di OK|va bene
👍	pollice in su	+1|bene|capito|certo|d’accordo|dito|mi piace|ok|perfetto|pollice in su|sì|va bene
👎	pollice verso	giù|in basso|mano|no|non mi piace|pollice|pollice abbassato|pollice in giù|pollice verso|segno
👏	mani che applaudono	applaudire|applauso|bravo|clap clap|complimenti|congratulazioni|mani che applaudono|ok|pregare|preghiera|segno|yeah
👐	mani aperte	abbracciare|abbraccio|accogliere|aperta|aperte|mani|mano|segno|segno delle mani aperte
👑	corona	abbigliamento|corona|famiglia reale|medioevo|principe|principessa|re|regale|regina|vincere
👒	cappello da donna	abbigliamento|abbigliamento donna|accessori|cappellino di paglia|cappello|cappello da donna|fiocco
👓	occhiali da vista	abbigliamento|nerd|occhiali|occhiali da vista
👔	cravatta	abbigliamento|abbigliamento uomo|camicia|camicia a righe|colletto|cravatta|vestiti da uomo
👕	t-shirt	abbigliamento|abbigliamento informale|casual|colletto|maglia|maglietta|maniche corte|polo|shopping|t-shirt
👖	jeans	abbigliamento|blu|casual|denim|jeans|pantaloni|vestiti
👗	vestito	abbigliamento|abito|donna|elegante|vestiti|vestito
👘	kimono	abbigliamento|giappone|kimono|vestito
👙	bikini	abbigliamento|bikini|costume|costume da bagno|costume due pezzi|estate|mare|piscina|spiaggia
👚	maglietta da donna	abbigliamento|donna|maglietta|maglietta da donna|maglietta rosa|polo|t-shirt|vestiti|vestiti da donna
👛	borsellino	abbigliamento|accessori|borsellino|borsetta|denaro|elegante|moneta|porta monete|portafogli|shopping|soldi
👜	borsa	abbigliamento|borsa|borsetta|shopping|valigia
👝	pochette	abbigliamento|accessori|borsa|borsetta|elegante|pochette
👞	scarpa da uomo	abbigliamento|accessori|mocassino|scarpa|scarpa da uomo|shopping|uomo
👟	scarpa sportiva	abbigliamento|accessori|correre|corsa|scarpa|scarpa da ginnastica|scarpa sportiva|scarpe|scarpe da corsa|scarpe da tennis|sneaker|tennis
👠	scarpa con il tacco	abbigliamento|decolleté|donna|moda|scarpa|scarpa con il tacco|stiletto|tacco
👡	sandalo da donna	abbigliamento|accessori|donna|sandalo|sandalo da donna|scarpa
👢	stivale da donna	abbigliamento|donna|scarpa|scarpe|stivale|stivale da donna|stivaletto
👣	impronta di piedi	camminare|corpo|impronta|impronta di piedi|impronte|passi|passo|piede|piedi|piedi nudi
👤	profilo di persona	busto|mistero|nascosto|ombra|persona|profilo|profilo di persona|sagoma|silhouette
👥	profilo di due persone	amici|due|due utenti|mistero|ombra|ombre|persona|persone|profili|profilo|profilo di due persone|silhouette
👦	bambino	bambino|bimbo|giovane|persona|persone|ragazzino|tenero
👧	bambina	bambina|bimba|bionda|codini|contenta|felice|persona|persone|ragazzina|treccine
👨	uomo	amico|biondo|fratello|maschio|papà|persona|persone|ragazzo|uomo
👨‍🌾	contadino	allevatore|campagna|cappello|contadino|fattoria|giardino|lavoro|uomo
👨‍🍳	cuoco	chef|cucina|cucinare|cuoco|lavoro|ristorante|uomo
👨‍🍼	uomo che allatta	allattamento|amore|babysitter|bebè|neonato|nutrire|padre|papà|persona|uomo|uomo che allatta
👨‍🎓	studente maschio	istruzione|laurea|laureato|maschio|ragazzo|studente|università|uomo
👨‍🎤	cantante uomo	attore|cantante|lavoro|musica|rock star|star|uomo|ziggy
👨‍🎨	artista uomo	arte|artista|dipingere|lavoro|pittore|uomo
👨‍🏫	professore	insegnante|insegnare|lavoro|maestro|professore|scuola|studio|uomo
👨‍🏭	operaio	fabbrica|industria|lavoro|operaio|saldatore|tuta blu|uomo
👨‍💻	tecnologo	computer|high tech|lavoro|programmatore|sviluppatore|tecnologia|tecnologo|uomo
👨‍💼	impiegato	architetto|business|impiegato|lavoro|manager|ufficio|uomo
👨‍🔧	meccanico uomo	chiave inglese|idraulico|lavoro|meccanico|operaio|tecnico specializzato|tuta blu|uomo
👨‍🔬	scienziato	biologia|biologo|camice|chimica|lavoro|scienza|scienziato|uomo
👨‍🚀	astronauta uomo	astronauta|astronauta maschio|lavoro|razzo|scienza|spazio|universo|uomo
👨‍🚒	pompiere uomo	fuoco|incendio|lavoro|pompiere|pompiere maschio|uomo|vigile del fuoco
👨‍🦯	uomo con bastone bianco di orientamento	accessibilità|cecità|cieco|ipovedente|ipovedenti|non vedente|non vedenti|persona|uomo|uomo con bastone bianco di orientamento|uomo con bastone per ciechi
👨‍🦼	uomo su sedia a rotelle motorizzata	accessibilità|disabile|persona|sedia a rotelle|uomo|uomo in carrozzina|uomo in sedia a rotelle|uomo su sedia a rotelle motorizzata
👨‍🦽	uomo su sedia a rotelle manuale	accessibilità|disabile|persona|uomo|uomo in carrozzina|uomo in sedia a rotelle|uomo su sedia a rotelle manuale
👩	donna	bionda|capelli|donna|femmina|persona|persone|ragazza|viso
👩‍🌾	contadina	allevatrice|campagna|cappello|contadina|donna|fattoria|giardino|lavoro
👩‍🍳	cuoca	chef|cucina|cucinare|cuoca|donna|lavoro|ristorante
👩‍🍼	donna che allatta	allattamento|amore|babysitter|bebè|donna|donna che allatta|madre|mamma|neonato|nutrire|persona
👩‍🎓	studentessa	donna|femmina|istruzione|laurea|laureata|ragazza|studente|studentessa|università
👩‍🎤	cantante donna	attrice|cantante|donna|lavoro|musica|rock star|star|ziggy
👩‍🎨	artista donna	arte|artista|dipingere|donna|lavoro|pennello|pittrice
👩‍🏫	professoressa	donna|insegnante|insegnare|lavoro|maestra|professoressa|scuola|studio
👩‍🏭	operaia	donna|fabbrica|industria|lavoro|operaia|saldatrice|tuta blu
👩‍💻	tecnologa	computer|donna|high tech|lavoro|programmatrice|sviluppatrice|tecnologa|tecnologia
👩‍💼	impiegata	architetto|business|donna|impiegata|lavoro|manager|ufficio
👩‍🔧	meccanico donna	chiave inglese|donna|idraulico|lavoro|meccanico|meccanico femmina|operaia|tecnico specializzato|tuta blu
👩‍🔬	scienziata	biologa|biologia|camice|chimica|donna|lavoro|scienza|scienziata
👩‍🚀	astronauta donna	astronauta|astronauta femmina|donna|lavoro|razzo|scienza|spazio
👩‍🚒	pompiere donna	donna|fuoco|incendio|lavoro|pompiere|pompiere femmina|vigile del fuoco
👩‍🦯	donna con bastone bianco di orientamento	accessibilità|cecità|cieca|donna|donna con bastone bianco di orientamento|donna con bastone per ciechi|donna non vedente|ipovedente|ipovedenti|non vedente|non vedenti|persona
👩‍🦼	donna su sedia a rotelle motorizzata	accessibilità|disabile|donna|donna in carrozzina|donna in sedia a rotelle|donna su sedia a rotelle motorizzata|persona|sedia a rotelle
👩‍🦽	donna su sedia a rotelle manuale	accessibilità|disabile|donna|donna in carrozzina|donna in sedia a rotelle|donna su sedia a rotelle manuale|persona|sedia a rotelle
👪	famiglia	bambino|famiglia|mamma|papà|persone
👫	uomo e donna che si tengono per mano	amore|coppia|donna e uomo|famiglia|innamorati|per mano|persone|tenersi per mano|uomo e donna che si tengono per mano|uomo e donna per mano
👬	due uomini che si tengono per mano	bff|compagni|coppia|due uomini che si tengono per mano|fidanzati|gemelli|innamorati|oroscopo|persone|tenersi per mano|uomo|zodiaco
👭	due donne che si tengono per mano	amiche|amicizia|bambine|bff|coppia|darsi la mano|due donne che si tengono per mano|legame|migliori amiche|persone|ragazze|sorelle
👮	agente di polizia	agente|arresto|controllo|fermo|polizia
👯	persone con orecchie da coniglio	amicizia|anima gemella|ballare|festa|orecchie da coniglio|party|persone con orecchie da coniglio|uguali
👰	persona con velo	abito|bianco|matrimonio|persona con velo|velo
👱	persona bionda	biondo|capelli biondi|persona|persona bionda
👲	uomo con zucchetto cinese	cappello|cinese|uomo|uomo con zucchetto|uomo con zucchetto cinese|zucchetto
👳	persona con turbante	persona|persona con turbante|turbante
👴	uomo anziano	anziano|capelli|nonnino|nonno|pelato|perdere i capelli|persona|persone|saggio|uomo|vecchietto|vecchio
👵	donna anziana	anziana|capelli|capelli bianchi|donna|nonna|nonnina|persone|saggezza|saggia|signora|vecchia|vecchietta
👶	neonato	bambino|bebè|faccia|famiglia|figlio|giovane|neonato|persone|piccolo
👷	operaio edile	casco|costruire|costruzioni|edile|ingegnere|lavoratore|muratore|operaio|tuta blu|uomo
👸	principessa	comandare|corona|donna|favola|fiaba|monarca|principessa|reale|regina|sovrana
👹	orco	creature|diavolo|faccina|favola|fiaba|finzione|maschera|mostro|orco|paura
👺	goblin	arrabbiato|carnevale|cattivo|crudele|diavolo|favola|fiaba|folletto|goblin|malefico|mostro
👻	fantasma	creatura|fantasmino|favola|fiaba|halloween|horror|mostro|paura|scherzetto|scherzo|sciocco|storie di fantasmi|stregare|stregato|terrore
👼	angioletto	angelo|angioletto|bambina|bambino|bimba|bimbo|chiesa|faccina|favola|fiaba|persona|santo
👽	alieno	alieno|ET|extraterrestre|faccina|favola|marziani|mostro|spazio|UFO
👾	mostro alieno	alieno|arcade|creatura|faccina|faccina viola|favola|GIF|mostro|pixel|UFO|video gioco|videogioco
👿	faccina arrabbiata con corna	arrabbiato|diavoletto|diavolo|diavolo viola|faccina|faccina arrabbiata con corna|scontento
💀	teschio	cranio|favola|morte|mostro|ossa|pericolo|stanco morto|teschio|umorismo nero|yolo
💁	persona con mano capovolta	aiuto|capovolgere la mano|gesto con i capelli|gossip|informazioni|mano|mano all’insù|pettegolezzo|sarcasmo|sfacciataggine|sul serio
💂	guardia	buckingham palace|guardia|guardia reale|lavoro|londra|sentinella|turno di guardia|uomo
💃	donna che balla	ballare|ballerina|ballo|donna|donna che balla|flamenco|lavoro|olé|salsa|tango
💄	rossetto	appuntamento|bellezza|cosmetici|make up|makeup|rossetto|rosso|serata|trucco
💅	smalto per unghie	cosmetici|make up|manicure|noia|smalto|smalto per unghie|spa|unghie|unghie con smalto
💆	persona che riceve un massaggio	centro estetico|estetista|faccia|mal di testa|massaggio|massaggio facciale|persona che riceve un massaggio|relax|spa|testa
💇	taglio di capelli	acconciatura|bellezza|capelli|parrucchiera|parrucchiere|persona|salone|salone di bellezza|tagliare|taglio|taglio di capelli
💈	barbiere	barbiere|insegna
💉	siringa	ago|dottore|iniezione|malato|medicina|medico|ospedale|puntura|sangue|siringa|vaccinazione|vaccino
💊	pillola	dottore|farmaco|malato|malattia|medicina|pillola|pillole|vitaminca
💋	impronta della bocca	bacio|impronta della bocca|labbra|romanticismo|romantico|rossetto|segno delle labbra|sexy
💌	lettera d’amore	busta|busta con cuore|c’è posta per te|cuore|inviare|lettera|lettera d’amore|posta|ricevere|romanticismo|san valentino
💍	anello	brillante|diamante|fidanzamento|fidanzarsi|fidanzata|fidanzato|gioielli|gioiello|matrimonio|romanticismo undefined
💎	gemma	diamante|fidanzamento|gemma|gioiello|per sempre|pietra preziosa|romanticismo|romantico|soldi
💏	bacio tra coppia	amore|appuntamento|baciarsi|bacio|bacio tra coppia|coppia|coppietta|fidanzati|persone|romanticismo|romantico
💐	mazzo di fiori	anniversario|appuntamento|bouquet|compleanno|fioraio|fiore|fiori|natura|regalo|romanticismo|romantico
💑	coppia con cuore	amore|anniversario|bacio|coppia|coppia con cuore|cuore|innamorati|insieme|persone|romanticismo
💒	chiesa per matrimonio	amore|cappella|chiesa|chiesa per matrimonio|matrimonio|nozze|religione|romanticismo|sposarsi
💓	cuore che batte	amore|battito|cuore|cuore che batte|cuore rosa|emozione|pulsazione
💔	cuore infranto	amore|amore finito|cuore|emozione|infranto|spezzato|triste
💕	due cuori	amare|amore|anniversario|appuntamento|baci|cuori|due cuori|emozione|flirt|innamorato|romantico|rosa
💖	cuore che luccica	amore|cuore|cuore che luccica|cuore rosa|emozionato|emozione|innamorata|innamorato|luccicare|luccichio
💗	cuore che cresce	amore|battito|cuore|cuore che batte|cuore che cresce|cuore che pulsa|cuore rosa|emozionato|emozione|nervoso
💘	cuore con freccia	amore|appuntamento|cuore con freccia|cupido|emozione|emozioni|freccia|innamorarsi|innamorati|romantico|rosa|san valentino
💙	cuore blu	amore|azzurro|blu|cuore|emozione
💚	cuore verde	amore|cuore|emozione|verde
💛	cuore giallo	amore|cuore|emozione|giallo|innamorato
💜	cuore viola	amore|cuore|emozione|viola
💝	cuore con fiocco	amore|cuore|cuore con fiocco|cuore rosa|cuore rosa con fiocco|emozione|fiocco|regalo|romantico|San Valentino
💞	cuori che girano	adorabile|amore|appuntamento|carino|cuori che girano|cuoricini|cuoricino|emozione|girare
💟	decorazione con cuore	amore|cuore|cuore bianco|cuore nel quadrato|cuore viola|cuoricino|decorazione con cuore|san valentino|ti amo
💠	petalo di fiore	carino|decorazione|diamante|emozione|fiore|forma di diamante|geometria|petalo di fiore
💡	lampadina	brillante|elettrica|elettricità|eureka|fumetto|geniale|idea|lampadina|luce
💢	rabbia	arrabbiato|emozione|fumetto|rabbia|simbolo
💣	bomba	bomba|boom|emozione|esplosione|fumetto|pericolo
💤	sonno	dormire|dormita|fumetto|ho sonno|pisolino|russare|sonnellino|sonno|stanco|Zzz
💥	collisione	bomba|boom|collisione|emozione|esplodere|esplosione|fumetto|simbolo collisione
💦	gocce di sudore	acqua|allenamento|fumetto|gocce|gocciolare|schizzo|sudata|sudato|sudore
💧	goccia	acqua|freddo|fumetto|goccia|lacrima|natura|sudore|triste
💨	nuvola di polvere	andare|correre|emozione|fuga|fumetto|fumo|nuvola di polvere|scappare|soffio|vento
💩	cacca	buona fortuna|cacca|fortuna|fortunato|popò|pupù|puzza
💪	bicipite	bicipite|bodybuilding|braccio piegato|corpo|forte|forza|fumetto|muscolo|palestra|pesi|sollevamento|teso
💫	stella con scia	fumetto|stella cadente|stella con scia|vertiginoso|vorticoso
💬	fumetto	dialogo|fumetto|mmm|nuvoletta|parlare|puntini|sospensione|sta scrivendo|sto scrivendo|testo
💭	nuvoletta	fumetto|idea|inventare|nuvola|pensare|realizzare|riflettere|sognare a occhi aperti
💮	fiore bianco	fiore|fiore bianco|fiorellino|simbolo ben fatto
💯	100 punti	100|cento|d’accordo|massimo|punteggio|punteggio pieno|punti|sicuro|tutto
💰	sacco di soldi	banca|borsa|contanti|denaro|dollari|oro|pagare|ricchezza|ricco|sacco per soldi|soldi|tesoro
💱	cambio valuta	banca|cambio|cambio di valuta|denaro|finanza|mercati|mercato|soldi|valuta
💲	Dollaro	cash|contanti|denaro|dollaro|pagare|simbolo del dollaro|soldi|valuta
💳	carta di credito	addebito|banca|carta|carta di credito|credito|denaro|pagare|soldi
💴	banconota Yen	banca|banconota|denaro|Giappone|soldi|valuta|Yen
💵	banconota Dollaro	banca|banconota|banconote|contanti|denaro|Dollaro|moneta|soldi|valuta
💶	banconota Euro	banca|banconota|cash|crisi|denaro|Euro|millionario|soldi|valuta
💷	banconota Sterlina	banconote|brexit|cash|denaro|Gran Bretagna|millionario|pound|ricco|soldi|Sterlina|UK|valuta
💸	soldi con le ali	banconota|banconota con le ali|soldi|soldi che volano|soldi con le ali
💹	grafico ascendente	ascendente|banca|crescita|finanza|grafico yen in rialzo|in rialzo|mercati|mercato in salita|rialzo|trend|valute|yen
💺	sedile	sedia|sedile
💻	computer portatile	computer|notebook|PC|personal|portatile
💼	valigetta 24 ore	24 ore|borsa|documenti|lavoro|porta documenti|ufficio|valigetta|valigetta 24 ore
💽	minidisc	CD|computer|disc|disco|lettore|MD|mini disc|minidisc
💾	floppy disc	computer|disc|dischetto|floppy
💿	disco ottico	blu-ray|CD|computer|disco|disco ottico|DVD
📀	DVD	blu ray|blu-ray|computer|computer disk|disco|DVD
📁	cartella file	archiviare|archivio|cartella|computer|file|ufficio
📂	cartella aperta	aperta|cartella|file
📃	pagina con piega	carta|documento|lettera|pagina|pagina arricciata|pagina con piega|ufficio
📄	pagina	carta|di fronte|documento|fronte|lettera|pagina|pagina di fronte|ufficio
📅	calendario	17|calendario|data|diciasette|giorno|ricorrenza|sfortuna|venerdì 17
📆	calendario a strappo	calendario|calendario a strappo|quando|tempo|venerdì 17
📇	schedario	contatti|rolodex|Rolodex|schedario|schedario girevole|schedario rotante|ufficio|vintage
📈	grafico con andamento positivo	andamento ascendente|ascendente|aumentare|aumento|crescere|crescita|finanza|grafico|grafico con andamento positivo|linea|trend
📉	grafico con andamento negativo	andamento discendente|calo|crisi|discendente|economia|finanza|grafico|grafico con andamento negativo|trend
📊	grafico a barre	barre|dati|grafico|grafico a barre|statistica
📋	portablocco	appunti|blocco|blocco note|cartella|portablocco|tavoletta
📌	puntina	collage|puntina|puntina da disegno|scuola|ufficio
📍	puntina arrotondata	località|mappa|pin|posizione|puntina|puntina arrotondata|puntina da disegno|spillo|ufficio
📎	graffetta	clippy|fermaglio|graffa|graffetta|paperclip|ufficio
📏	righello	geometria|matematica|misurare|riga|righello|scuola|strumento|studiare
📐	squadra	angoli|geometria|matematica|misurare|righello|scuola|squadra|triangolo
📑	etichette segnalibro	etichette segnalibro|linguette|segnalibro|ufficio
📒	quaderno ad anelli	annotazioni|appunti|blocco|block notes|libro mastro|note|quaderno|quaderno ad anelli|registro|registro scolastico|scuola|taccuino
📓	quaderno	appunti|biblioteca|libreria|libro|libro grigio|prendere nota|quaderno|taccuino|ufficio
📔	quaderno con copertina decorata	album|album delle foto|compiti|copertina|fotoalbum|quaderno con copertina decorata|scuola|taccuino|taccuino con decorazione|taccuino copertina decorata|taccuino decorato|università
📕	libro chiuso	biblioteca|istruzione|leggere|libreria|libro|libro chiuso|rosso|scuola|studiare|università
📖	libro aperto	compiti|istruzione|leggere|libreria|libro|libro aperto|romanzo|scuola
📗	libro verde	biblioteca|compiti|istruzione|libreria|libro|libro verde|quaderno|scuola
📘	libro blu	biblioteca|compiti|istruzione|leggere|libreria|libro|libro blu|quaderno|quaderno blu|scuola|studiare
📙	libro arancione	biblioteca|compiti|istruzione|leggere|libreria|libro|libro arancione|quaderno|scuola|studiare
📚	libri	biblioteca|compiti|doposcuola|leggere|libreria|libri|pila di libri|quaderni|romanzi|scuola|studiare|università
📛	tesserino per nome	badge|etichetta|etichetta a tulipano|giappone|giapponese|nome|tesserino|tesserino per nome|tulipano
📜	pergamena	decreto|documento|laurea|lettera|mappa|pergamena|rotolo|rotolo di carta
📝	memo	appunti|blocco note|block notes|comunicazione|matita|memo|nota|scrivere|taccuino
📞	cornetta	chiamami|chiamare|comunicazione|cornetta|cornetta del telefono|fisso|telefonare|telefono|ti chiamo|ti richiamo
📟	cercapersone	cercapersone|comunicazione|lavoro
📠	fax	computer|comunicazione|fax|periferiche|stampante|ufficio
📡	antenna satellitare	antenna|antenna parabolica|antenne paraboliche|antenne satellitari|comunicazione|parabola|satellitare|satellite|scienza|scienze|tecnologia
📢	altoparlante	audio|comunicazione|megafono|parlare in pubblico|speaker|suono|volume
📣	megafono	altoparlante|altoparlanti|comunicazione|megafoni|megafono|parlare|suono|tifare|tifo|urlare
📤	posta inviata	comunicazione|in uscita|inviata|posta|posta in uscita|vaschetta
📥	posta ricevuta	comunicazione|email|in arrivo|posta|posta in arrivo|ricevuta|vaschetta
📦	pacco	cartone|collo|consegna|pacco|scatola|scatolone|spedizione
📧	e-mail	busta|comunicazione|e-mail|email|inviare|lettera|mail|posta|posta elettronica|ricevere
📨	posta in arrivo	busta|comunicazione|consegna|consegnare|e-mail|email|in arrivo|lettera|mail|posta|posta in arrivo|posta ricevuta
📩	posta in uscita	busta|busta con freccia|comunicazione|email|in uscita|lettera|mail|posta|posta in uscita|posta inviata
📪	cassetta postale chiusa bandierina abbassata	bandierina|buca delle lettere|casella postale|cassetta postale|cassetta postale chiusa bandierina abbassata|cassetta postale chiusa bandierina giù|chiusa|email|inviare|mail|posta|ricevere
📫	cassetta postale chiusa bandierina alzata	bandierina|buca delle lettere|cassetta postale|cassetta postale chiusa bandierina alzata|cassetta postale chiusa bandierina su|chiusa|comunicazione|email|inviare|mail|posta|ricevere
📬	cassetta postale aperta bandierina alzata	aperta|bandierina|buca delle lettere|cassetta postale|cassetta postale aperta bandierina alzata|cassetta postale aperta bandierina su|mail|posta
📭	cassetta postale aperta bandierina abbassata	aperta|bandierina|buca delle lettere|cassetta postale|cassetta postale aperta bandierina abbassata|cassetta postale aperta bandierina giù|cassetta postale con bandierina abbassata|consegna|inviare|mail|posta|ricevere
📮	cassetta delle lettere	buca delle lettere|c’è posta per te|cassetta delle lettere|inviare|lettera|posta|poste|ricevere|spedire
📯	corno postale	cornetta da postiglione|cornetto postale|corno|nuovo messaggio|postale|tromba|trombone
📰	quotidiano	giornale|notizia|quotidiano
📱	telefono cellulare	cellulare|chiamare|comunicare|smartphone|telefono
📲	telefono cellulare con freccia	cellulare|cellulare con freccia|chiamami|chiamare|ricevere|smartphone|telefonare|telefono|telefono cellulare con freccia
📳	modalità vibrazione	cellulare|modalità telefono|modalità vibrazione|telefono|telefono modalità
📴	cellulare spento	cellulare|off|simbolo|spento|telefono
📵	simbolo che vieta l’uso dei cellulari	cellulari vietati|divieto|niente cellulare|no cellulare|no telefono|proibito|segnale|segno|simbolo|simbolo che vieta l’uso dei cellulari|telefono|vietato telefonare
📶	segnale cellulare	antenna|antenna con tacche intensità segnale|cellulare|segnale|tacche|telefono
📷	fotocamera	foto|fotocamera|fotografare|instagram|macchina fotografica|ricordi|scattare foto|selfie|viaggiare|video
📸	fotocamera con flash	flash|foto con flash|fotocamera|fotocamera con flash|fotografare|macchina fotografica|macchina fotografica con flash|ricordi|scattare foto|selfie
📹	videocamera	attore|attrice|camera|film|filmare|filmino|fotocamera|regista|registrare|telecamera|video|videocamera
📺	televisore	arredamento|televisione|televisore|TV
📻	radio	ascoltare|ascoltare la radio|musica|radio|stazioni radio
📼	videocassetta	cassetta|registrare|VHS|video|videocassetta|vintage
📿	collana da preghiera	grani|perle|pregare|religione
🔀	pulsante di riproduzione casuale	frecce|frecce incrociate|frecce incrociate verso destra|pulsante di riproduzione casuale|shuffle
🔁	pulsante di ripetizione della riproduzione	frecce|frecce a cerchio|frecce senso orario|freccia|orario|pulsante|pulsante di ripetizione della riproduzione|senso orario|simbolo|tasto
🔂	pulsante di ripetizione della riproduzione di una traccia	frecce|frecce a cerchio numero 1|frecce senso orario|frecce senso orario numero 1|pulsante di ripetizione della riproduzione di una traccia|ripeti|ripetizione|senso orario
🔃	frecce verticali che ruotano in senso orario	ciclo|circolo|frecce|frecce a cerchio verticali|frecce verticali che ruotano in senso orario|frecce verticali senso orario|orario|processo|ricarica|ricaricare|senso orario|simbolo
